OBA_ID	Sample_ID	Station	Depth	Size fraction	Latitude	Longitude	OGA_ID	Station	ENA_ID	INSDC_ID	BioSamples_ID	Sample_method	Depth_Nominal	Environmental_feature	Fraction_Lower (µm)	Fraction_Upper (µm)	Biome	Region	Province	Barcode	Date_Time	Seafloor (m)	Temperature (°C)	Salinity (PSU)	Density (kg/m**3)	Distance_coast (km)	Chlorophyll_A (mg/m**3)	Depth (m)	PAR (mol quanta/m**2/day)	O2 (µmol/kg)	NO3 (µmol/l)	Iron_5m* (µmol/l)	Ammonium_5m* (µmol/l)	Nitrite_5m* (µmol/l)	Nitrate_5m* (µmol/l)	CDOM* (ppb (QSE))	NPP_C* (mg/m**2/day)	POC* (µg/kg)	PIC* (mol/m3)	Alkalinity (µmol/kg)	Carbon Total (µmol/kg)	CO2 (µmol/kg)	CO3 (µmol/kg)	HCO3 (µmol/kg)	pH (-)	NO2 (µmol/l)	PO4 (µmol/l)	NO3_NO2 (µmol/l)	Si (µmol/l)	MLD (m)	DCM (m)	Depth_max_Brunt_Väisälä_freq (m)	Depth_max_O2 (m)	Depth_min_O2 (m)	Depth_nitracline (m)	Shannon_Darwin* (-)	Shannon_Physat* (-)	miTAG_SILVA_Chao (-)	miTAG_SILVA_Shannon (-)	OG_Richness (-)	OG_Evenness (-)	Chlorophyll c3 (mg/m**3)	Peridinin (mg/m**3)	Fucoxanthin (mg/m**3)	Prasinoxanthin (mg/m**3)	19-Hexanoyloxyfucoxanthin (mg/m**3)	Alloxanthin (mg/m**3)	Zeaxanthin (mg/m**3)	Lutein (mg/m**3)	Latitude (-)	Longitude (-)	Sea_ice* (%)	Season	Season_subperiod	Okubo-Weiss* (-)	Lyapunov* (l/day)	Residence_time* (days)
180	TARA_A100000558	TARA_023	DCM	[5-20µm]	42.1735	17.7252	TARA_023_DCM_5-20	TARA_023	ERS478004	ERR562582|ERR318613|ERR538172	SAMEA2591104	SEQ-(500mL-or-15min)_W5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000558	2009-11-18T13:50	-1183	15.180558	38.47375	28.613475	57.9209	0.0656	55	0.054743	224.264417		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.013	0.012	0.05	1.0505	12	58	58	43	160		0.309499	0.542748													42.1735	17.7252	0	autumn	middle	-0.354776	0.078584	3.583333
181	TARA_A100000559	TARA_023	DCM	[0.8-5µm]	42.1735	17.7252	TARA_023_DCM_0.8-5	TARA_023	ERS478003	ERR318605|ERR550514|ERR538175|ERR318603|ERR562436	SAMEA2591103	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000559	2009-11-18T13:50	-1183	15.180558	38.47375	28.613475	57.9209	0.0656	55	0.054743	224.264417		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.013	0.012	0.05	1.0505	12	58	58	43	160		0.309499	0.542748													42.1735	17.7252	0	autumn	middle	-0.354776	0.078584	3.583333
182	TARA_A100000556	TARA_023	DCM	[20-180µm]	42.1694	17.7179	TARA_023_DCM_20-180	TARA_023	ERS478011	ERR550380|ERR562533	SAMEA2624976	SEQ-(500mL-or-15min)_N20-180	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	20	180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000556	2009-11-18T13:52	-1183	15.454558	38.42905	28.51615	57.9209	0.0703	50	0.093238	225.850667		0.001387878	0.001431253	0.027064617	0.077471482		468.419									0.013	0.012	0.05	1.0505	12	58	58	43	160		0.309499	0.542748													42.1694	17.7179	0	autumn	middle	-0.354776	0.078584	3.583333
184	TARA_A100000598	TARA_018	SRF	[5-20µm]	35.759	14.2574	TARA_018_SRF_5-20	TARA_018	ERS488339	ERR1711953|ERR1726555|ERR562427	SAMEA2619676	SEQ-(500mL-or-15min)_W5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000598	2009-11-02T08:13	-793	21.48665	37.89575	26.565263	13.8783	0.0018	5	19.262582	208.245		0.001387895	0.009119561	0.030015622	0.010272223		315.859	43.042594909668	8.8988130301004E-5	0.001	0.0103		0.0228	0		0.01833	0.0256	0.118	0.5571	51	80	61	60	221			0.455844					0.0053	0.0033	0.0103	0	0.0428	0.0006	0.0541	0	35.759	14.2574	0	autumn	middle	-0.124391	0.066158	15.222222
185	TARA_A100000595	TARA_018	SRF	[0.8-5µm]	35.759	14.2574	TARA_018_SRF_0.8-5	TARA_018	ERS488338	ERR562643|ERR868393|ERR1712185	SAMEA2619675	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000595	2009-11-02T08:13	-793	21.48665	37.89575	26.565263	13.8783	0.0018	5	19.262582	208.245		0.001387895	0.009119561	0.030015622	0.010272223		315.859	43.042594909668	8.8988130301004E-5	0.001	0.0103		0.0228	0		0.01833	0.0256	0.118	0.5571	51	80	61	60	221			0.455844					0.0053	0.0033	0.0103	0	0.0428	0.0006	0.0541	0	35.759	14.2574	0	autumn	middle	-0.124391	0.066158	15.222222
186	TARA_A100000596	TARA_018	SRF	[20-180µm]	35.7444	14.3083	TARA_018_SRF_20-180	TARA_018	ERS488342	ERR562448|ERR1726956|ERR1712062	SAMEA2656983	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000596	2009-11-02T10:31	-818	21.48665	37.89575	26.565263	14.2151	0.0018	5	18.396274	208.245		0.001387895	0.009119561	0.030015622	0.010272223			44.827310562134	9.5977211458376E-5	0.001	0.0103		0.0228	0		0.01833	0.0256	0.118	0.5571	50	82	60	58	580								0.0053	0.0033	0.0103	0	0.0428	0.0006	0.0541	0	35.7444	14.3083	0	autumn	middle	-0.124391	0.066158	15.222222
187	TARA_A100000600	TARA_018	DCM	[180-2000µm]	35.7528	14.2765	TARA_018_DCM_180-2000	TARA_018	ERS488358	ERR1726753|ERR562411	SAMEA2657093	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000600	2009-11-02T14:30	-818	17.146013	38.054675	27.82275	14.2151	0.0387	80	0.107209	231.33225		0.001387895	0.009119561	0.030015622	0.010272223			43.878957748413	9.235052857548E-5											50	82	60	58	580																35.7528	14.2765	0	autumn	middle	-0.124391	0.066158	15.222222
188	TARA_A100001644	TARA_030	DCM	[20-180µm]	33.9189	32.8532	TARA_030_DCM_20-180	TARA_030	ERS478038	ERR550397|ERR318617|ERR318591|ERR550392|ERR562469|ERR318606|ERR318592|ERR318588|ERR318612	SAMEA2625587	SEQ-(500mL-or-15min)_N20-180	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	20	180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100001644	2009-12-15T13:05	-1452	18.21473	39.20842	28.44554	73.67	0.039	70	0.138484	219.02445	0	0.001388157	0.003270233	0.034886073	0.054155687		291.834	37.479671478271	0.00019103868817183	0.00045	0.00395		0.0227	0		0.005	0		0.6655	29	70	63	59	808	982	0.239124	0.393525					0.0209	0.0017	0.00395	0	0.06235	0	0.054	0	33.9189	32.8532	0	autumn	late	-0.309549	0.097233	2.777778
189	TARA_A100000602	TARA_018	DCM	[5-20µm]	35.7528	14.2765	TARA_018_DCM_5-20	TARA_018	ERS488353	ERR1726585|ERR562570|ERR1712015	SAMEA2619685	SEQ-(500mL-or-15min)_W5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000602	2009-11-02T14:07	-818	18.30575	37.84945	27.375	14.2151	0.024	60	0.437326	238.694625		0.001387895	0.009119561	0.030015622	0.010272223		315.859	43.878957748413	9.235052857548E-5	0.0017	0.0118		0.0452	0		0.0263	0.0131	0.038	0.58135	50	82	60	58	580			0.455844					0.0136	0.0055	0.0118	0	0.0825	0	0.0821	0	35.7528	14.2765	0	autumn	middle	-0.124391	0.066158	15.222222
190	TARA_A100000604	TARA_018	DCM	[0.8-5µm]	35.7528	14.2765	TARA_018_DCM_0.8-5	TARA_018	ERS488352	ERR562543|ERR1712139|ERR1711896|ERR868488	SAMEA2619684	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000604	2009-11-02T14:07	-818	18.30575	37.84945	27.375	14.2151	0.024	60	0.437326	238.694625		0.001387895	0.009119561	0.030015622	0.010272223		315.859	43.878957748413	9.235052857548E-5	0.0017	0.0118		0.0452	0		0.0263	0.0131	0.038	0.58135	50	82	60	58	580			0.455844					0.0136	0.0055	0.0118	0	0.0825	0	0.0821	0	35.7528	14.2765	0	autumn	middle	-0.124391	0.066158	15.222222
191	TARA_A100000589	TARA_018	DCM	[20-180µm]	35.7528	14.2765	TARA_018_DCM_20-180	TARA_018	ERS488356	ERR1726965|ERR562417|ERR1711993|ERR1712141|ERR1726811	SAMEA2657107	SEQ-(500mL-or-15min)_N20-180	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	20	180	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A100000589	2009-11-02T14:15	-818	17.146013	38.054675	27.82275	14.2151	0.0387	80	0.107209	231.33225		0.001387895	0.009119561	0.030015622	0.010272223			43.878957748413	9.235052857548E-5											50	82	60	58	580																35.7528	14.2765	0	autumn	middle	-0.124391	0.066158	15.222222
192	TARA_N000000722	TARA_068	SRF	[0.8-5µm]	-31.0266	4.665	TARA_068_SRF_0.8-5	TARA_068	ERS490281	ERR599257|ERR1719344|ERR562532|ERR1719484	SAMEA2621029	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000722	2010-09-14T06:55	-4935	16.8632	35.686585	26.07437	1113.2454	0.19332	5	24.301431	234.4763	1.103865	0.00036828	0.015807986	0.06059745	0.129485512	5.91167	446.399	69.400001525879	0.00039400000241585	0.00255	0.01515	12.727681	0.0462	0	8.087022	0.201	0.1455	0.939	1.9865	156	42	353	237	1320		0.530677	0.674945					0.0338	0.00465	0.01515	0.0034	0.11185	0	0.0795	0	-31.0266	4.665	0	winter	late	0.069036	0.120437	6.388889
193	TARA_N000000705	TARA_068	SRF	[20-180µm]	-31.0551	4.668	TARA_068_SRF_20-180	TARA_068	ERS490256	ERR1719501|ERR599304|ERR1719418|ERR562648	SAMEA2657082	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000705	2010-09-13T21:35	-4929	16.86368	35.686225	26.07397	1113.0191	0.19188	5	23.357918	234.8614	1.103865	0.00036828	0.015807986	0.06059745	0.129485512	5.91167	446.399	55.997652053833	0.00011426883429522	0.00255	0.01515	12.727681	0.0462	0	8.087022	0.201	0.1455	0.939	1.9865	210	32	4	13	248	142	0.530677	0.674945					0.0338	0.00465	0.01515	0.0034	0.11185	0	0.0795	0	-31.0551	4.668	0	winter	late	0.069036	0.120437	6.388889
194	TARA_N000000711	TARA_068	DCM	[180-2000µm]	-31.0292	4.6742	TARA_068_DCM_180-2000	TARA_068	ERS490294	ERR1719427|ERR562531|ERR1719466|ERR1726630|ERR599259	SAMEA2657061	SEQ-(500mL-or-15min)_N180-2000	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	180	2000	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000711	2010-09-14T12:56	-4935	16.74878	35.68407	26.101325	1113.2454	0.27246	50	0.383273	231.9774	0.904785	0.00036828	0.015807986	0.06059745	0.129485512	5.91167	446.399	69.400001525879	0.00039400000241585	0.0038	0.0183		0.0692	0		0.285	0.227	1.08	2.436	156	42	353	237	1320		0.530677	0.674945					0.0484	0.005	0.0183	0.0048	0.1647	0	0.0815	0	-31.0292	4.6742	0	winter	late	0.069036	0.120437	6.388889
195	TARA_N000000703	TARA_068	DCM	[5-20µm]	-31.027	4.6802	TARA_068_DCM_5-20	TARA_068	ERS490314	ERR1712119|ERR599229|ERR562445|ERR1712183	SAMEA2621055	SEQ-(500mL-or-15min)_W5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000703	2010-09-14T13:30	-4935	16.74878	35.68407	26.101325	1113.2454	0.27246	50	0.383273	231.9774	0.904785	0.00036828	0.015807986	0.06059745	0.129485512	5.91167	446.399	69.400001525879	0.00039400000241585	0.0038	0.0183		0.0692	0		0.285	0.227	1.08	2.436	156	42	353	237	1320		0.530677	0.674945					0.0484	0.005	0.0183	0.0048	0.1647	0	0.0815	0	-31.027	4.6802	0	winter	late	0.069036	0.120437	6.388889
196	TARA_N000000720	TARA_068	DCM	[>0.8µm]	-31.027	4.6802	TARA_068_DCM_0.8->	TARA_068	ERS490311	ERR1719482|ERR562683|ERR1719407|ERR599236	SAMEA2621052	SEQ-(100L-or-15min)_W>0.8	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	>0.80	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000720	2010-09-14T13:30	-4935	16.74878	35.68407	26.101325	1113.2454	0.27246	50	0.383273	231.9774	0.904785	0.00036828	0.015807986	0.06059745	0.129485512	5.91167	446.399	69.400001525879	0.00039400000241585	0.0038	0.0183		0.0692	0		0.285	0.227	1.08	2.436	156	42	353	237	1320		0.530677	0.674945					0.0484	0.005	0.0183	0.0048	0.1647	0	0.0815	0	-31.027	4.6802	0	winter	late	0.069036	0.120437	6.388889
197	TARA_N000000713	TARA_068	MES	[0.8-3µm]	-31.0198	4.6685	TARA_068_MES_0.8-3	TARA_068	ERS490241	ERR599248|ERR1712096|ERR1879830|ERR1712202	SAMEA2621006	SEQ-(100L-or-15min)_W0.8-3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	0.8	3	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000713	2010-09-13T13:02	-4894	7.32145	34.50494	26.992205	1122.2759	-0.00576	700	0	194.4342	24.232124	0.00036828	0.015807986	0.06059745	0.129485512		435.877	55.704948425293	9.5442544989055E-5	0	0.0021		0	0		0.003	1.529	22.08	12.08	233	31	3	21	758		0.530677	0.674945	5525.554522	6.922447734	17660.3	0.731320211	0	0	0.0021	0	0	0	0	0	-31.0198	4.6685	0	winter	late	0.069036	0.120437	6.388889
198	TARA_N000000714	TARA_068	MES	[>3µm]	-31.0198	4.6685	TARA_068_MES_3->	TARA_068	ERS490242	ERR1879903|ERR599260	SAMEA2621007	SEQ-(100L-or-15min)_W>3	MES	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	3	>3.00	Trades Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[SATL] South Atlantic Gyral Province (MRGID:21459)	TARA_N000000714	2010-09-13T13:02	-4894	7.32145	34.50494	26.992205	1122.2759	-0.00576	700	0	194.4342	24.232124	0.00036828	0.015807986	0.06059745	0.129485512		435.877	55.704948425293	9.5442544989055E-5	0	0.0021		0	0		0.003	1.529	22.08	12.08	233	31	3	21	758		0.530677	0.674945	5525.554522	6.922447734	17660.3	0.731320211	0	0	0.0021	0	0	0	0	0	-31.0198	4.6685	0	winter	late	0.069036	0.120437	6.388889
199	TARA_A200000170	TARA_007	SRF	[180-2000µm]	37.0242	1.9486	TARA_007_SRF_180-2000	TARA_007	ERS477965	ERR315823|ERR538180|ERR562428	SAMEA2611378	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A200000170	2009-09-23T17:54	-2780	23.8141	37.522	25.61115	49.3939	0.065832	9	3.567838			0.001387777	0.01524472	0.033489773	0.006918471		356.9545			0.00065	0.00695		0.0067	0		0.0445	0.0475	0.14325	0.7935	24	45	45				0.635715	0.5693	3872.353048	6.525141459	15495.1	0.746406446	0.0045	0.002	0.00695	0	0.02065	0	0.0507	0	37.0242	1.9486	0	autumn	early	-1.3813	0	0
200	TARA_N000000790	TARA_066	SRF	[180-2000µm]	-34.9363	17.9366	TARA_066_SRF_180-2000	TARA_066	ERS490150	ERR599277|ERR1719180|ERR1719234|ERR562520|ERR1726689	SAMEA2656956	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000790	2010-07-15T12:55	-2031	15.013362	35.3233	26.2141	79.9944	0.1611	5	9.435831	239.93725	2.426286	0.000311999	0.019386057	0.1846933	1.545722415		810.68	106.49585342407	0.00024052371736616	0.0051	0.0302	12.73317	0.0271	0.0244	8.10696	0.3025	0.343	3.34	2.7435	91	31	100	14	451	106	0.897426	0.890853					0.039	0.0148	0.0302	0.0139	0.0746	0.0108	0.0139	0.0021	-34.9363	17.9366	0	winter	early	0.143048	0.098545	0
201	TARA_N000000809	TARA_066	SRF	[5-20µm]	-34.9449	17.9189	TARA_066_SRF_5-20	TARA_066	ERS490136	ERR562534|ERR599208|ERR1712172|ERR1711971	SAMEA2620941	SEQ-(500mL-or-15min)_W5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000809	2010-07-15T12:22	-2031	15.013362	35.3233	26.2141	79.9944	0.1611	5	9.435831	239.93725	2.426286	0.000311999	0.019386057	0.1846933	1.545722415		810.68	108.12380981445	0.00026346182858106	0.0051	0.0302	12.73317	0.0271	0.0244	8.10696	0.3025	0.343	3.34	2.7435	91	31	100	14	451	106	0.897426	0.890853					0.039	0.0148	0.0302	0.0139	0.0746	0.0108	0.0139	0.0021	-34.9449	17.9189	0	winter	early	0.143048	0.098545	0
202	TARA_N000000805	TARA_066	SRF	[0.8-5µm]	-34.9449	17.9189	TARA_066_SRF_0.8-5	TARA_066	ERS490134	ERR1712216|ERR562457|ERR599261|ERR1712205	SAMEA2620939	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000805	2010-07-15T12:22	-2031	15.013362	35.3233	26.2141	79.9944	0.1611	5	9.435831	239.93725	2.426286	0.000311999	0.019386057	0.1846933	1.545722415		810.68	108.12380981445	0.00026346182858106	0.0051	0.0302	12.73317	0.0271	0.0244	8.10696	0.3025	0.343	3.34	2.7435	91	31	100	14	451	106	0.897426	0.890853					0.039	0.0148	0.0302	0.0139	0.0746	0.0108	0.0139	0.0021	-34.9449	17.9189	0	winter	early	0.143048	0.098545	0
203	TARA_N000000793	TARA_066	SRF	[20-180µm]	-34.8986	18.03	TARA_066_SRF_20-180	TARA_066	ERS490159	ERR1719302|ERR562365|ERR599301|ERR1726663|ERR1719464	SAMEA2657046	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000793	2010-07-15T15:16	-1880	15.013362	35.3233	26.2141	70.2779	0.1611	5	9.598241	239.93725	2.426286	0.000311999	0.019386057	0.1846933	1.545722415		810.68	99.178695678711	0.00028305864543654	0.0051	0.0302	12.73317	0.0271	0.0244	8.10696	0.3025	0.343	3.34	2.7435	67	23		15	65		0.897426	0.890853					0.039	0.0148	0.0302	0.0139	0.0746	0.0108	0.0139	0.0021	-34.8986	18.03	0	winter	early	0.143048	0.098545	0
204	TARA_N000000791	TARA_066	DCM	[5-20µm]	-34.8901	18.0459	TARA_066_DCM_5-20	TARA_066	ERS490174	ERR1712192|ERR599231|ERR1712181|ERR562567	SAMEA2620961	SEQ-(500mL-or-15min)_W5-20	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	5	20	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000791	2010-07-15T15:36	-1880	15.014	35.32305	26.21755	70.2779	0.1725	30	0.350859	239.791063	2.739389	0.000311999	0.019386057	0.1846933	1.545722415		724.197	99.628406524658	0.00023392256116495	0.00545	0.0296		0.0276	0.0245		0.284	0.34975	3.309875	2.5895	67	23		15	65		0.897426	0.890853					0.03835	0.0149	0.0296	0.01535	0.0761	0.01095	0.0143	0.0018	-34.8901	18.0459	0	winter	early	0.143048	0.098545	0
205	TARA_N000000807	TARA_066	DCM	[0.8-5µm]	-34.8901	18.0459	TARA_066_DCM_0.8-5	TARA_066	ERS490172	ERR599233|ERR1726793|ERR1726875|ERR599315|ERR599300|ERR1719352|ERR599251|ERR599308|ERR1719504|ERR1726898|ERR1726833|ERR599318|ERR599242|ERR1726701|ERR599235|ERR599273|ERR599274|ERR599285|ERR599289|ERR599316|ERR1726829|ERR599252|ERR599271|ERR599334|ERR562369|ERR1726704|ERR599272|ERR1726866|ERR562660|ERR599327	SAMEA2620959	SEQ-(100L-or-15min)_W0.8-5	DCM	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	0.8	5	Coastal Biome	[SAO] South Atlantic Ocean (MRGID:1914)	[BENG] Benguela Current Coastal Province (MRGID:21470)	TARA_N000000807	2010-07-15T15:36	-1880	15.014	35.32305	26.21755	70.2779	0.1725	30	0.350859	239.791063	2.739389	0.000311999	0.019386057	0.1846933	1.545722415		724.197	99.628406524658	0.00023392256116495	0.00545	0.0296		0.0276	0.0245		0.284	0.34975	3.309875	2.5895	67	23		15	65		0.897426	0.890853					0.03835	0.0149	0.0296	0.01535	0.0761	0.01095	0.0143	0.0018	-34.8901	18.0459	0	winter	early	0.143048	0.098545	0
206	TARA_N000000981	TARA_065	SRF	[180-2000µm]	-35.1808	26.2879	TARA_065_SRF_180-2000	TARA_065	ERS490063	ERR1719516|ERR599312|ERR1719348|ERR562388	SAMEA2657007	SEQ-(500mL-or-15min)_N180-2000	SRF	[SRF] surface water layer (ENVO:00010504)	180	2000	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_N000000981	2010-07-12T06:36	-4316	21.76357	35.449638	24.629613	85.2841	0.10548	5	0.86456	207.5812		0.000760815	0.009926958	0.065700063	0.482149295		621.475	80.489585876465	0.00016657620290061											78	20	88	679	1186		0.134533	0.817359													-35.1808	26.2879	0	winter	early	4.780821	0.143321	0
207	TARA_N000000963	TARA_065	SRF	[5-20µm]	-35.1728	26.2868	TARA_065_SRF_5-20	TARA_065	ERS490045	ERR1712154|ERR562537|ERR1712244|ERR599218	SAMEA2620871	SEQ-(500mL-or-15min)_W5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_N000000963	2010-07-12T05:59	-4316	21.76357	35.449638	24.629613	85.2841	0.10548	5	0.86456	207.5812		0.000760815	0.009926958	0.065700063	0.482149295		621.475	80.489585876465	0.00016657620290061											78	20	88	679	1186		0.134533	0.817359													-35.1728	26.2868	0	winter	early	4.780821	0.143321	0
208	TARA_N000000959	TARA_065	SRF	[0.8-5µm]	-35.1728	26.2868	TARA_065_SRF_0.8-5	TARA_065	ERS490044	ERR562667|ERR599210|ERR1740328	SAMEA2620870	SEQ-(100L-or-15min)_W0.8-5	SRF	[SRF] surface water layer (ENVO:00010504)	0.8	5	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_N000000959	2010-07-12T05:59	-4316	21.76357	35.449638	24.629613	85.2841	0.10548	5	0.86456	207.5812		0.000760815	0.009926958	0.065700063	0.482149295		621.475	80.489585876465	0.00016657620290061											78	20	88	679	1186		0.134533	0.817359													-35.1728	26.2868	0	winter	early	4.780821	0.143321	0
209	TARA_N000000968	TARA_065	SRF	[20-180µm]	-35.2351	26.3022	TARA_065_SRF_20-180	TARA_065	ERS490083	ERR1719384|ERR599320|ERR1719251|ERR562438|ERR1726800	SAMEA2656992	SEQ-(500mL-or-15min)_N20-180	SRF	[SRF] surface water layer (ENVO:00010504)	20	180	Coastal Biome	[IO] Indian Ocean (MRGID:1904)	[EAFR] Eastern Africa Coastal Province (MRGID:21473)	TARA_N000000968	2010-07-12T10:30	-4291	21.76357	35.449638	24.629613	91.3689	0.10548	5	0.86456	207.5812		0.000760815	0.009926958	0.065700063	0.482149295		621.475	80.357940673828	0.0001647107565077											66	27		13	63		0.134533	0.817359													-35.2351	26.3022	0	winter	early	4.780821	0.143321	0
210	TARA_A200000110	TARA_007	SRF	[5-20µm]	37.051	1.9378	TARA_007_SRF_5-20	TARA_007	ERS477937	ERR315808|ERR562674|ERR538190	SAMEA2591063	SEQ-(500mL-or-15min)_W5-20	SRF	[SRF] surface water layer (ENVO:00010504)	5	20	Westerlies Biome	[MS] Mediterranean Sea (MRGID:1905)	[MEDI] Mediterranean Sea, Black Sea Province (MRGID:21465)	TARA_A200000110	2009-09-23T12:50	-2784	23.8141	37.522	25.61115	48.0551	0.065832	9	1.794369			0.001387777	0.01524472	0.033489773	0.006918471		356.9545			0.00065	0.00695		0.0067	0		0.0445	0.0475	0.14325	0.7935	18	43	45				0.635715	0.5693	3872.353048	6.525141459	15495.1	0.746406446	0.0045	0.002	0.00695	0	0.02065	0	0.0507	0	37.051	1.9378	0	autumn	early	-1.3813	0	0
